"","Samples","Nr_NA_before_gap","Nr_NA_after_gap","outlier_gaphunter","percent_outlier_gaphunter"
"1","200693480153_R01C01",1865,5,-1860,-0.251864610584813
"2","200693480153_R02C01",1869,3,-1866,-0.252678445689029
"3","200693480153_R03C01",1805,2,-1803,-0.244126344522796
"4","200693480153_R04C01",2282,2,-2280,-0.308911695965857
"5","200693480153_R05C01",1863,2,-1861,-0.251999339195714
"6","200693480153_R06C01",1822,1,-1821,-0.24656922149932
"7","200693480153_R07C01",1987,2,-1985,-0.268835407722416
"8","200693480153_R08C01",2168,1,-2167,-0.293556257272866
"9","200705360003_R01C01",2296,19,-2277,-0.30851108512711
"10","200705360003_R02C01",1861,2,-1859,-0.251727836034318
"11","200705360003_R03C01",1825,5,-1820,-0.246434819344321
"12","200705360003_R04C01",1858,1,-1857,-0.251455993846979
"13","200705360003_R05C01",2282,4,-2278,-0.308640720793957
"14","200705360003_R06C01",1845,3,-1842,-0.249420456268822
"15","200705360003_R07C01",1842,4,-1838,-0.248877815616474
"16","200705360003_R08C01",2263,21,-2242,-0.303755348234778
"17","200705360018_R01C01",2289,2,-2287,-0.30986304784925
"18","200705360018_R02C01",1840,5,-1835,-0.248470922131786
"19","200705360018_R03C01",1817,4,-1813,-0.245484333956184
"20","200705360018_R04C01",2174,2,-2172,-0.294235982134511
"21","200705360018_R05C01",1985,4,-1981,-0.268292947186513
"22","200705360018_R06C01",1869,2,-1867,-0.252813857503439
"23","200705360018_R07C01",1786,5,-1781,-0.241141339153582
"24","200705360018_R08C01",2307,3,-2304,-0.31217397195312
"25","200705360019_R01C01",1858,0,-1858,-0.251591403644419
"26","200705360019_R02C01",1816,0,-1816,-0.245890207855759
"27","200705360019_R03C01",2305,0,-2305,-0.312308617820967
"28","200705360019_R04C01",1826,0,-1826,-0.247247576608159
"29","200705360025_R01C01",2265,3,-2262,-0.306465860624421
"30","200705360025_R02C01",1857,3,-1854,-0.25104942450914
"31","200705360025_R03C01",1806,2,-1804,-0.244262075333999
"32","200705360025_R04C01",2302,0,-2302,-0.311900874596067
"33","200705360025_R05C01",1826,1,-1825,-0.247112172677924
"34","200705360025_R06C01",1873,1,-1872,-0.253492289609524
"35","200705360025_R07C01",1826,2,-1824,-0.24697676874769
"36","200705360025_R08C01",2294,14,-2280,-0.308916718491511
"37","200705360032_R01C01",1822,2,-1820,-0.24643381830245
"38","200705360032_R02C01",1868,1,-1867,-0.252813515164072
"39","200705360032_R03C01",2280,0,-2280,-0.308910858894126
"40","200705360032_R04C01",1849,8,-1841,-0.249286399064059
"41","200705360032_R05C01",1826,4,-1822,-0.246705960887221
"42","200705360032_R06C01",2280,2,-2278,-0.3086398844565
"43","200705360032_R07C01",1850,4,-1846,-0.249963778271567
"44","200705360032_R08C01",1877,3,-1874,-0.253764489221103
"45","200705360035_R01C01",1845,1,-1844,-0.249691271096475
"46","200705360035_R02C01",1829,2,-1827,-0.24738398544131
"47","200705360035_R03C01",1859,0,-1859,-0.25172715430509
"48","200705360035_R04C01",2287,1,-2286,-0.309726719687834
"49","200705360035_R05C01",1845,0,-1845,-0.249826678510302
"50","200705360035_R06C01",1834,0,-1834,-0.248333498076566
"51","200705360035_R07C01",2278,2,-2276,-0.308368074420218
"52","200705360035_R08C01",1851,2,-1849,-0.250370342285642
"53","200705360036_R01C01",1841,3,-1838,-0.248877478619285
"54","200705360036_R02C01",2196,2,-2194,-0.297225131102835
"55","200705360036_R03C01",1943,4,-1939,-0.262589820886386
"56","200705360036_R04C01",1870,1,-1869,-0.253085023839282
"57","200705360036_R05C01",1790,7,-1783,-0.241413439809794
"58","200705360036_R06C01",2299,4,-2295,-0.310951171859122
"59","200705360036_R07C01",1863,0,-1863,-0.252270160624189
"60","200705360036_R08C01",1811,1,-1810,-0.245076136083602
"61","200705360049_R01C01",2296,4,-2292,-0.310543437466551
"62","200705360049_R02C01",1855,5,-1850,-0.250507107631394
"63","200705360049_R03C01",1834,3,-1831,-0.247927281885601
"64","200705360049_R04C01",1853,2,-1851,-0.25064183809431
"65","200705360049_R05C01",2285,2,-2283,-0.309319415991936
"66","200705360049_R06C01",1843,1,-1842,-0.249419780803072
"67","200705360049_R07C01",1846,0,-1846,-0.249962424391783
"68","200705360049_R08C01",2179,10,-2169,-0.293831569079544
"69","200705360050_R01C01",1840,5,-1835,-0.248470922131786
"70","200705360050_R02C01",1829,0,-1829,-0.247654794401837
"71","200705360050_R03C01",2169,1,-2168,-0.293692121790113
"72","200705360050_R04C01",1984,1,-1983,-0.268563449638597
"73","200705360050_R05C01",1873,1,-1872,-0.253492289609524
"74","200705360050_R06C01",1781,2,-1779,-0.240868915318126
"75","200705360050_R07C01",2312,3,-2309,-0.312853552290172
"76","200705360050_R08C01",1852,12,-1840,-0.249152003033155
"77","200705360079_R01C01",1986,6,-1980,-0.268157877273078
"78","200705360079_R02C01",2167,1,-2166,-0.293420393123722
"79","200705360079_R03C01",1863,0,-1863,-0.252270160624189
"80","200705360079_R04C01",1810,1,-1809,-0.244940403251249
"81","200705360079_R05C01",2293,3,-2290,-0.310271195993843
"82","200705360079_R06C01",1841,4,-1837,-0.248742071938861
"83","200705360079_R07C01",1855,2,-1853,-0.250913335373499
"84","200705360079_R08C01",1842,9,-1833,-0.248200781297604
"85","200705360087_R01C01",1880,1,-1879,-0.254442589274954
"86","200705360087_R02C01",1813,3,-1810,-0.24507679975736
"87","200705360087_R03C01",2274,0,-2274,-0.308095431001662
"88","200705360087_R04C01",1863,1,-1862,-0.252134749909952
"89","200705360087_R05C01",1822,1,-1821,-0.24656922149932
"90","200705360087_R06C01",2109,201,-1908,-0.258449735048385
"91","200705360087_R07C01",2043,1,-2042,-0.276576090931501
"92","200705360087_R08C01",1887,0,-1887,-0.25552832207131
"93","200705360106_R01C01",1807,4,-1803,-0.244127005619119
"94","200705360106_R02C01",2276,3,-2273,-0.307960779372454
"95","200705360106_R03C01",1865,6,-1859,-0.251729199503854
"96","200705360106_R04C01",1819,3,-1816,-0.245891206681308
"97","200705360106_R05C01",1992,1,-1991,-0.26964983443148
"98","200705360106_R06C01",2157,1,-2156,-0.29206177187754
"99","200705360106_R07C01",1893,1,-1892,-0.256207479308402
"100","200705360106_R08C01",1785,0,-1785,-0.241682598311336
"101","200705860062_R01C01",1838,2,-1836,-0.248605655372441
"102","200705860062_R02C01",1816,1,-1815,-0.245754805758922
"103","200705860062_R03C01",2220,2,-2218,-0.30048622410203
"104","200705860062_R04C01",1944,2,-1942,-0.262996453204372
"105","200705860062_R05C01",1870,2,-1868,-0.252949611841508
"106","200705860062_R06C01",1786,1,-1785,-0.241682925541349
"107","200705860062_R07C01",2304,0,-2304,-0.312172703044361
"108","200705860062_R08C01",1859,2,-1857,-0.251456334343492
"109","200705860068_R01C01",2278,0,-2278,-0.308639048123575
"110","200705860068_R02C01",1852,1,-1851,-0.250641498703462
"111","200705860068_R03C01",1869,4,-1865,-0.25254303387462
"112","200705860068_R04C01",1809,94,-1715,-0.23221239513207
"113","200705860068_R05C01",2279,2,-2277,-0.308503979254225
"114","200705860068_R06C01",1864,2,-1862,-0.25213509132788
"115","200705860068_R07C01",1814,3,-1811,-0.245212533325751
"116","200705860068_R08C01",1991,2,-1989,-0.269378600856486
"117","200705860079_R01C01",1872,1,-1871,-0.253356533985118
