CD8T;CD4T;NK;Bcell;Mono;Gran
200715340057_R01C01;0.0487239922905093;0.181942372181343;0;0.0659817921110291;0.0597670183426205;0.662243277224302
200715340057_R02C01;0.0188260919908792;0.082140467060586;0;0.0337659693606424;0.0419453210033614;0.835637547085364
200715340057_R03C01;0.107988097294062;0.149351335547989;0.0475542537795505;0.102596886327329;0.0742194219840984;0.539576949467046
200715340057_R04C01;0.0493184441000385;0.0608533568052628;0.0437047129304581;0.0625499165827654;0.0552947436633399;0.746887441454908
200715340057_R05C01;0.100932343317339;0.273983291165004;0;0.115766615575141;0.0580594545288112;0.478412304045071
200715340057_R06C01;0.0526981353933292;0.0571984527800202;0.00693837779389353;0.0688297183340122;0.0338522496660882;0.809281026249469
200715340057_R07C01;0.147666933476223;0.150640909524004;0.0451498108854178;0.060199341914203;0.0736335919524635;0.548950816133495
200715340057_R08C01;0.109326628583181;0.0797792904985562;0.0177580511717814;0.0336834188562237;0.051123939002477;0.725124454343346
200715340073_R01C01;0.110756754333341;0.214034888905946;0.0560769232512934;0.0703914800606717;0.0384775774675549;0.530221798022643
200715340073_R02C01;0.0759328514478982;0.111803185798518;0.0176748477491396;0.0457631438295584;0.0313690209650709;0.730046488701073
200715340073_R03C01;0.108152830014704;0.219443763429772;0.0965895126273421;0.0756062651177336;0.0616729333649237;0.458332337468968
200715340073_R04C01;0.036487787398707;0.0662769866586704;0.0450036720174162;0.0363916073532204;0.060924939925848;0.768999743997121
200715340073_R05C01;0.0269333237015386;0.275967181549911;0.0402786344706255;0.0445281868704608;0.0600987801660952;0.572361954522372
200715340073_R06C01;0;0.14028760909065;0.060017191639247;0.0298187281494283;0.0455470818407631;0.741747132458211
200715340073_R07C01;0.0889406457892991;0.154888303205985;0.0904378337183468;0.0551897023626812;0.0698859036511748;0.58064787137684
200715340073_R08C01;0.0191728759718556;0.0299203171869419;0.0619705076632592;0.0324964939827056;0.0366260514766193;0.841429039002002
200712160102_R01C01;0.0308228919423521;0.122208955528041;0.0390966587167008;0.0848155419164638;0.0766417050806216;0.6591421648498
200712160102_R02C01;0;0.045123034949907;0.021651781751605;0.0424879311092022;0.0424867611270454;0.858818443290598
200712160102_R03C01;0.0762640851932105;0.223051919868717;0.0711750568489291;0.0740350799765774;0.106067643928296;0.467136030153962
200712160102_R04C01;0.0318402658816255;0.0591377347462184;0.0129519667150521;0.045279304949664;0.0486823337493712;0.817133470288622
200712160102_R05C01;0.0395859315745335;0.172300806209827;0.0335517022438358;0.0428808867355279;0.0609018134736325;0.670371063141065
200712160102_R06C01;0.0326100088985629;0.06774817447728;0.0233707276927125;0.0322906719222197;0.0477871899187468;0.81497443016841
200712160102_R07C01;0.13541611546436;0.224436005753708;0.0290160281426121;0.0894075160175929;0.0538540172802359;0.492917431578043
200712160102_R08C01;0.0714488642270764;0.0790285653972469;0.0255759749883542;0.0480303111497089;0.052064117147772;0.739453774212488
200715340075_R01C01;0.0500793667044494;0.102561417463135;0.0326748563760649;0.0544700052447301;0.0432109083002673;0.728296093763288
200715340075_R02C01;0.0906574146071079;0.165956448418871;0.00488601362002658;0.0873097038092879;0.033604090826213;0.635785687754618
