CD8T,CD4T,NK,Bcell,Mono,Gran
202193490115_R01C01,0.102123080289182,0.174904583854125,0.028559133371974,0.072635819063181,0.0533642266001647,0.593555071360697
202193490115_R02C01,0.138303192014188,0.142660192550681,0.0147622821866606,0.0555405284847143,0.109352525942866,0.570334710693261
202193490115_R03C01,0.111450076279039,0.147698072588284,0.0325918183954814,0.0694047723304842,0.052585229497809,0.614797725756121
202193490115_R04C01,0.0480657555883716,0.0662797957074735,0,0.0351431205991756,0.0888687317790277,0.777063311859739
202193490115_R05C01,0.0733204499911372,0.112656679383087,0.00314729244832741,0.0527386638328828,0.0458025601281512,0.731952223323882
202193490115_R06C01,0.0849287873370561,0.124876939903134,0.103703334276308,0.0728498532763154,0.0886361105403559,0.552087864558355
202193490115_R07C01,0.115119817417929,0.160289667895813,0.0484389941657221,0.122032285088773,0.0868137376646512,0.505161950823036
202193490115_R08C01,0.133104171180828,0.162613144862011,0,0.0995375251934108,0.117584409846835,0.525374877103246
202212330092_R01C01,0.134679615048165,0.154524754381564,0.0343901757308745,0.120348097296471,0.0451884217388205,0.534850281606107
202212330092_R02C01,0.0647915427423306,0.133027465681678,0.0763076375403369,0.0949643958772237,0.0758029032295159,0.585738198339686
202212330092_R03C01,0.0843430683283416,0.111233698987895,0.101807929741503,0.0987345028893243,0.0680295474941181,0.562585892412995
202212330092_R04C01,0.115167254194593,0.0998328942781354,0.0109546540329284,0.0910608819538266,0.048067747140645,0.664076824366973
202212330092_R05C01,0.144497830315213,0.210710996630936,0.0468499666435139,0.106082274422005,0.0287397613892107,0.489551200293324
202212330092_R07C01,0.203569046871856,0.179210383794806,0,0.130133832715671,0.0652859388480979,0.450509623021036
202212330092_R08C01,0.12237349389679,0.266652563136953,0.035118563919415,0.128610252857293,0.0701796399985259,0.404926927097079
202212330093_R01C01,0.131925949893987,0.151073756919873,0.0603570708815826,0.100975819674754,0.0707026287248889,0.512316436591024
202212330093_R02C01,0.0957031616756583,0.115502254130269,0.0795659295754141,0.0683376609816592,0.0626161238819559,0.609692004615986
202212330093_R03C01,0.112949490268824,0.172258117497517,0,0.101744491466874,0.0667172191995052,0.57280905612967
202212330093_R04C01,0.119942734507525,0.178131930344286,0.0436369693731185,0.0994052567512825,0.0673391779594776,0.518326881140535
202212330093_R05C01,0.168334462542375,0.217665670660569,0.0526237612873981,0.158642181446048,0.0647075104812857,0.386773136257219
202212330093_R06C01,0.108149121914648,0.140602314966799,0.056144732539603,0.108479108825049,0.0909818557281017,0.521861236225328
202212330093_R07C01,0.0995775068544651,0.113372463224014,0.0118164506026913,0.0871533039575312,0.0782863051009041,0.648247693210208
202212330093_R08C01,0.0982371420600944,0.122586523292456,0.000817020266045351,0.114872970286683,0.0636046862167624,0.628304320481171
202212330094_R01C01,0.0752046302040021,0.138640498093797,0.0402336515169444,0.0936035832262556,0.058463986808581,0.626361442078967
202212330094_R02C01,0.181313219340521,0.194219811422408,0,0.135538536694138,0.0564106857098213,0.465230280864554
202212330094_R03C01,0.172460506886786,0.173656795855985,0.0191258383815662,0.122424045077751,0.094694714172668,0.452752965192375
202212330094_R04C01,0.158021004119866,0.176906432123224,0.0137514156736549,0.09758891435656,0.0804735405724201,0.504729094812031
202212330094_R05C01,0.0876110184679034,0.111420060001142,0.0818592418418768,0.106834216637456,0.0796112977573946,0.566846058133568
202212330094_R06C01,0.138728810168503,0.219349991667432,0.0767343654139381,0.113560273366731,0.0451252975336391,0.434697846964477
202212330094_R07C01,0.104924222427681,0.219991721781931,0.0514934414086358,0.157831589925221,0.0676469395997724,0.429618976562612
202212330094_R08C01,0.10736411819414,0.0990973542495586,0.0752983604313478,0.0501002426600234,0.0754896747085373,0.614272903824433
202212330101_R01C01,0.116281301951132,0.173180853788598,0.019038518675168,0.0732998266522053,0.0786929190960079,0.563059279938524
202212330101_R02C01,0.1330125095124,0.125372607233563,0.00775956822946217,0.0662940321862644,0.0667124806119499,0.620658352782284
202212330101_R03C01,0.0973100074139462,0.0951563868210601,0.00855902212476361,0.11762635661764,0.0719700603734041,0.635514925637457
202212330101_R04C01,0.113007586209749,0.142315400188914,0.00663261985102848,0.10207418153521,0.0803070412220676,0.581368404089616
202212330101_R05C01,0.116994400541363,0.109577031733487,0.0153112282797904,0.0694449529526566,0.0722766556592142,0.644109794915504
202212330101_R06C01,0.0830750827750922,0.108708234487039,0.0472736637378193,0.0826312996204535,0.0569487932445954,0.651361031924118
202212330101_R07C01,0.132346690613151,0.160143244665705,0.0615457173807176,0.0895611242857801,0.0766148524167364,0.505199045892506
202212330101_R08C01,0.0998575925798125,0.133450924908892,0.0130714192498875,0.133051112239073,0.102161236751476,0.551165647976965
202212330103_R01C01,0.0809947656778627,0.146269101158146,0.116927100127376,0.0722715651670188,0.0730498689219569,0.527686086477944
202212330103_R02C01,0.0399884276490761,0.0408662007996812,0,0.0322738718503038,0.0629045509482716,0.833525330804364
202212330103_R03C01,0.153816158805575,0.1853826723444,0,0.127696279683075,0.0338134125587592,0.508159022311214
202212330103_R04C01,0.125886243440489,0.126588699863431,0.0298220990546673,0.0688526995837509,0.0641335697593125,0.593664738718525
202212330103_R05C01,0.0919389589183608,0.140490770294417,0.00137833108458538,0.063777937722259,0.0644237181147124,0.658367032530437
202212330103_R06C01,0.162877416962746,0.248381828175933,0,0.173256472556543,0.0718682609898996,0.367269357514726
202212330103_R07C01,0.0773809721847299,0.115096873755782,0.0137462390328946,0.0503601525568516,0.0645827602540929,0.700394558654589
202212330103_R08C01,0.109067219971097,0.142615350205819,0.0649505289341398,0.0537887604576575,0.0327833609457324,0.624280999026086
202212330104_R01C01,0.0791905928969727,0.160411117528949,0.0828159794419011,0.1173473232802,0.093748225180753,0.502467141393324
202212330104_R02C01,0.0959407148183837,0.11054302484628,0.0182204236463687,0.0457017083109239,0.067232507513259,0.686271864945334
202212330104_R03C01,0.118528319827759,0.122634010447458,0.0565927786304966,0.0843177522619512,0.0522273253317738,0.599162087917932
202212330104_R04C01,0.119581235128255,0.159870265123523,0.0700021229234716,0.0586123373330635,0.0806550286431014,0.537775920095259
202212330104_R05C01,0.158220993786202,0.151966865734098,0.00122344980123418,0.097004984594772,0.0725267918493104,0.550646969703358
202212330104_R06C01,0.131957496882782,0.175658918483783,0.00215082719663387,0.121845929207068,0.0510600638011599,0.540617143339149
